epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,841.246,0.15142,0.15164,0.90228,0.98607,1,0.99393,0.79794,1.08819,0.54559,2.3998,0.000964976,0.000964976,0.000964976
125,848.53,0.14813,0.14874,0.90589,0.9935,0.91102,0.91921,0.79614,0.88561,0.47332,2.15069,0.000964412,0.000964412,0.000964412
126,855.736,0.13875,0.15399,0.90235,0.99745,1,0.995,0.87959,0.76016,0.46466,1.99386,0.000963843,0.000963843,0.000963843
127,863.007,0.15178,0.1607,0.91484,0.97897,1,0.99232,0.88279,0.64437,0.37646,1.71593,0.00096327,0.00096327,0.00096327
128,870.331,0.15565,0.15263,0.91471,0.96124,1,0.98947,0.7908,1.04259,0.68533,1.81408,0.000962692,0.000962692,0.000962692
129,877.658,0.14066,0.1533,0.91014,0.92567,0.77542,0.88828,0.64147,1.23952,1.08754,1.98709,0.00096211,0.00096211,0.00096211
130,884.988,0.14815,0.15168,0.91,0.7329,0.73248,0.81256,0.55504,1.25974,1.08624,2.49092,0.000961524,0.000961524,0.000961524
131,892.27,0.13914,0.14183,0.8922,0.98154,1,0.98581,0.72428,1.30332,1.21305,3.25023,0.000960933,0.000960933,0.000960933
132,899.629,0.1481,0.14877,0.91402,0.96903,0.92807,0.97804,0.66621,1.55489,1.47207,3.30205,0.000960339,0.000960339,0.000960339
133,907.242,0.14182,0.14377,0.896,0.96692,0.99082,0.99096,0.73739,1.27332,0.60579,3.13062,0.00095974,0.00095974,0.00095974
134,914.566,0.16006,0.17286,0.93426,0.98318,0.99077,0.99373,0.77106,1.10339,0.47154,2.75704,0.000959136,0.000959136,0.000959136
135,921.862,0.15549,0.14793,0.91161,0.97779,0.99576,0.99176,0.83418,0.9057,0.67338,2.03306,0.000958529,0.000958529,0.000958529
136,929.175,0.17148,0.17359,0.91075,0.94681,0.74153,0.85865,0.6517,1.26706,1.17653,2.31382,0.000957917,0.000957917,0.000957917
137,937.019,0.16128,0.16307,0.89986,0.92965,0.75424,0.97328,0.75422,1.0474,1.19177,1.57379,0.0009573,0.0009573,0.0009573
138,944.328,0.15846,0.16721,0.90976,0.92078,0.97881,0.97966,0.66105,1.47217,0.77863,1.82574,0.00095668,0.00095668,0.00095668
139,951.607,0.1645,0.16306,0.91356,0.90178,0.74153,0.77512,0.14889,3.53592,1.67233,4.87918,0.000956055,0.000956055,0.000956055
140,958.693,0.14445,0.15687,0.92183,0.69309,0.77542,0.76763,0.16931,3.37339,1.85952,4.64346,0.000955426,0.000955426,0.000955426
141,965.937,0.14557,0.15162,0.90182,0.70532,0.63559,0.71549,0.22668,2.39774,1.68533,2.96149,0.000954793,0.000954793,0.000954793
142,973.246,0.15547,0.15712,0.91619,0.95675,0.78814,0.93165,0.7579,0.94149,0.75008,2.1912,0.000954155,0.000954155,0.000954155
143,980.655,0.16735,0.15828,0.92625,0.99121,1,0.99462,0.72151,1.23035,0.52592,2.91439,0.000953514,0.000953514,0.000953514
144,987.98,0.14563,0.14791,0.91853,0.9848,0.99153,0.9936,0.725,1.27507,0.68951,3.24574,0.000952868,0.000952868,0.000952868
145,995.427,0.14886,0.15352,0.90109,0.98716,0.99576,0.995,0.74135,1.1902,0.79399,3.05891,0.000952217,0.000952217,0.000952217
146,1002.85,0.14593,0.14836,0.91772,0.99578,0.99914,0.995,0.74933,1.13899,0.77343,2.85898,0.000951563,0.000951563,0.000951563
147,1010.27,0.14975,0.15008,0.89709,0.98786,0.99576,0.9944,0.72682,1.14297,0.85282,2.54375,0.000950904,0.000950904,0.000950904
148,1017.64,0.14666,0.15088,0.89936,0.98645,0.99153,0.9941,0.85427,0.72142,0.44347,1.86064,0.000950242,0.000950242,0.000950242
149,1025.02,0.1487,0.15077,0.90887,0.99157,0.9972,0.99487,0.87693,0.71974,0.4159,1.84761,0.000949575,0.000949575,0.000949575
150,1101.25,0.15439,0.15049,0.90879,0.99272,0.98729,0.98173,0.80009,0.86664,0.54475,1.98138,0.000948903,0.000948903,0.000948903
151,1040.6,0.15249,0.16509,0.90013,0.99518,1,0.99411,0.80629,0.93295,0.60351,2.00426,0.000948228,0.000948228,0.000948228
152,1047.83,0.13296,0.14921,0.89791,0.99957,1,0.995,0.75481,0.9466,0.53044,2.00377,0.000947549,0.000947549,0.000947549
153,1055.04,0.13816,0.14145,0.89685,0.99945,1,0.995,0.74914,1.11489,0.46682,2.30079,0.000946865,0.000946865,0.000946865
154,1062.13,0.14791,0.14757,0.9084,1,0.99989,0.995,0.75155,1.12044,0.42189,2.36464,0.000946177,0.000946177,0.000946177
155,1069.35,0.14128,0.14961,0.89124,0.99068,0.99576,0.99347,0.82604,0.96102,0.40456,2.02909,0.000945485,0.000945485,0.000945485
156,1076.62,0.15163,0.14963,0.9081,0.97628,1,0.99131,0.81599,0.88764,0.48426,1.82503,0.000944789,0.000944789,0.000944789
157,1083.82,0.13705,0.14744,0.90067,0.96693,0.99117,0.98734,0.80964,0.89021,0.58639,1.83981,0.000944088,0.000944088,0.000944088
158,1090.95,0.13939,0.13527,0.90505,0.96095,1,0.98344,0.83399,0.80717,0.50049,1.76094,0.000943384,0.000943384,0.000943384
159,1098.17,0.14205,0.14144,0.90271,0.98165,1,0.98797,0.83745,0.79233,0.44483,1.87973,0.000942675,0.000942675,0.000942675
160,1105.26,0.14997,0.14774,0.91214,0.97657,0.99153,0.99336,0.84689,0.80735,0.51103,1.79627,0.000941963,0.000941963,0.000941963
161,1112.4,0.13963,0.1303,0.91031,0.94491,0.99576,0.98102,0.737,1.19857,0.68353,2.05548,0.000941246,0.000941246,0.000941246
162,1119.5,0.13966,0.1491,0.89529,0.93927,0.78641,0.89807,0.65458,1.52628,1.03064,2.09037,0.000940525,0.000940525,0.000940525
163,1126.66,0.14726,0.14413,0.91686,0.98882,0.74969,0.89613,0.804,0.98168,0.96158,1.7474,0.0009398,0.0009398,0.0009398
164,1133.84,0.13421,0.13796,0.90207,0.92891,0.89831,0.97546,0.88434,0.65076,0.67995,1.65546,0.000939071,0.000939071,0.000939071
165,1141.14,0.13396,0.13826,0.89731,0.92336,0.91886,0.96355,0.81924,0.71871,0.7959,1.76767,0.000938337,0.000938337,0.000938337
166,1148.27,0.12575,0.13682,0.88713,0.85167,0.68123,0.86043,0.61706,1.25168,1.37592,1.95811,0.0009376,0.0009376,0.0009376
167,1155.35,0.12976,0.13876,0.89902,0.58196,0.38932,0.46486,0.19838,2.03098,3.23403,2.03324,0.000936859,0.000936859,0.000936859
168,1162.46,0.13284,0.13192,0.89731,0.95875,0.7161,0.74742,0.5114,1.10394,2.50994,1.64398,0.000936113,0.000936113,0.000936113
169,1169.58,0.12886,0.13648,0.89203,0.98332,0.74935,0.74915,0.69771,0.70632,2.4715,1.43453,0.000935364,0.000935364,0.000935364
170,1176.68,0.12623,0.13207,0.90113,0.98238,0.74576,0.75336,0.70856,0.75421,2.59555,1.41454,0.00093461,0.00093461,0.00093461
171,1183.86,0.13675,0.14584,0.90479,0.93241,0.72034,0.7478,0.57895,1.17534,2.96261,1.53064,0.000933852,0.000933852,0.000933852
172,1190.88,0.1454,0.14983,0.89692,0.98283,0.72771,0.77411,0.75712,1.15296,2.58252,1.57073,0.000933091,0.000933091,0.000933091
173,1197.93,0.13063,0.13719,0.8968,0.99438,0.74929,0.86891,0.78673,0.95721,0.97967,1.61712,0.000932325,0.000932325,0.000932325
174,1205.06,0.14073,0.14773,0.9034,0.93444,0.92373,0.98048,0.90376,0.50981,0.50919,1.52522,0.000931555,0.000931555,0.000931555
175,1212.49,0.12526,0.13498,0.88763,0.99524,1,0.99479,0.90751,0.51186,0.32371,1.65064,0.000930782,0.000930782,0.000930782
176,1219.91,0.11939,0.13273,0.89555,0.99521,1,0.995,0.8226,0.62142,0.34601,1.90872,0.000930004,0.000930004,0.000930004
177,1227.16,0.11883,0.12919,0.91324,0.99908,1,0.995,0.75242,1.10599,0.52337,3.26802,0.000929222,0.000929222,0.000929222
178,1234.27,0.13042,0.14135,0.89302,0.9972,0.99576,0.995,0.74251,1.18787,0.45602,3.27365,0.000928437,0.000928437,0.000928437
179,1241.43,0.12702,0.14549,0.89455,0.99527,1,0.995,0.66258,1.28819,0.46171,3.12808,0.000927647,0.000927647,0.000927647
180,1248.56,0.12704,0.13528,0.8948,0.99671,1,0.995,0.67901,1.29843,0.49003,3.0878,0.000926853,0.000926853,0.000926853
181,1255.87,0.12462,0.13251,0.89832,0.99037,1,0.99419,0.76129,1.11265,0.59925,2.53352,0.000926056,0.000926056,0.000926056
182,1262.99,0.12571,0.13778,0.90186,0.99514,1,0.99407,0.69294,1.32527,0.64297,2.82955,0.000925254,0.000925254,0.000925254
183,1270.2,0.13348,0.13355,0.90795,1,0.74983,0.93973,0.51907,1.83362,1.95712,2.53622,0.000924449,0.000924449,0.000924449
184,1277.43,0.11988,0.13555,0.90087,0.98719,0.97979,0.98957,0.55105,1.88363,1.14214,2.59851,0.000923639,0.000923639,0.000923639
185,1284.7,0.12533,0.13025,0.8979,0.9791,0.99268,0.9781,0.66896,1.59096,0.85111,2.6395,0.000922826,0.000922826,0.000922826
