sample,image,staphylococcus_prob
3491B_240506-155911,band_072_1428nm.png,0.9394462704658508
3491B_240506-155911,band_073_1434nm.png,0.9445944428443909
3491B_240506-155911,band_074_1440nm.png,0.9423384070396423
3491B_240506-155911,band_075_1447nm.png,0.9408056735992432
3491B_240506-155911,band_076_1453nm.png,0.941430926322937
3491B_240506-155911,band_077_1459nm.png,0.9084656238555908
3491B_240506-155911,band_078_1466nm.png,0.9588444828987122
3491B_240506-155911,band_079_1472nm.png,0.9591235518455505
3491B_240506-155911,band_080_1478nm.png,0.9229321479797363
3491B_240506-155911,band_081_1484nm.png,0.9262598156929016
3491B_240506-155911,band_082_1491nm.png,0.92376708984375
3491B_240506-155911,band_083_1497nm.png,0.9305280447006226
3491B_240506-155911,band_084_1503nm.png,0.924310564994812
3491B_240506-155911,band_085_1510nm.png,0.9237284660339355
3491B_240506-155911,band_086_1516nm.png,0.9096084833145142
3491B_240506-155911,band_087_1522nm.png,0.9162558317184448
3491B_240506-155911,band_088_1529nm.png,0.9040205478668213
3491B_240506-155911,band_089_1535nm.png,0.9163441061973572
3491B_240506-155911,band_090_1541nm.png,0.9343036413192749
3491B_240506-155911,band_091_1547nm.png,0.9272966384887695
3491B_240506-155911,band_092_1554nm.png,0.933006763458252
3491B_240506-155911,band_093_1560nm.png,0.9143857955932617
3491B_240506-155911,band_094_1566nm.png,0.9225784540176392
3491B_240506-155911,band_095_1573nm.png,0.9390855431556702
3491B_240506-155911,band_096_1579nm.png,0.9190079569816589
3491B_240506-155911,band_097_1585nm.png,0.9212402105331421
3491B_240506-155911,band_098_1592nm.png,0.900702953338623
3491B_240506-155911,band_099_1598nm.png,0.9186040759086609
3491B_240506-155911,band_100_1604nm.png,0.9270961284637451
3491B_240506-155911,band_101_1610nm.png,0.9205132722854614
3491B_240506-155911,band_102_1617nm.png,0.9396635890007019
3491B_240506-155911,band_103_1623nm.png,0.9418615698814392
3491B_240506-155911,band_104_1629nm.png,0.9419730305671692
3491B_240506-155911,band_105_1636nm.png,0.9275758266448975
3491B_240506-155911,band_106_1642nm.png,0.9295507669448853
3491B_240506-155911,band_107_1648nm.png,0.9231866002082825
3491B_240506-155911,band_108_1654nm.png,0.9195722937583923
3491B_240506-155911,band_109_1661nm.png,0.9216936826705933
3491B_240506-155911,band_110_1667nm.png,0.9333060383796692
3491B_240506-155911,band_111_1673nm.png,0.9274037480354309
3491B_240506-155911,band_112_1680nm.png,0.9414877891540527
3491B_240506-155911,band_113_1686nm.png,0.9374417066574097
3491B_240506-155911,band_114_1692nm.png,0.9381406903266907
3491B_240506-155911,band_115_1699nm.png,0.9320357441902161
3491B_240506-155911,band_116_1705nm.png,0.9254099726676941
3491B_240506-155911,band_117_1711nm.png,0.929423987865448
3491B_240506-155911,band_118_1717nm.png,0.9196571111679077
3491B_240506-155911,band_119_1724nm.png,0.9175137281417847
3491B_240506-155911,band_120_1730nm.png,0.92396080493927
3491B_240506-155911,band_121_1736nm.png,0.902901828289032
3491B_240506-155911,band_122_1743nm.png,0.94594806432724
3491B_240506-155911,band_123_1749nm.png,0.9676867127418518
3491B_240506-155911,band_124_1755nm.png,0.9690179228782654
3491B_240506-155911,band_125_1761nm.png,0.9643173217773438
3491B_240506-155911,band_126_1768nm.png,0.9405765533447266
3491B_240506-155911,band_127_1774nm.png,0.9457603693008423
3491B_240506-155911,band_128_1780nm.png,0.8999195098876953
3491B_240506-155911,band_129_1787nm.png,0.9467374682426453
3491B_240506-155911,band_130_1793nm.png,0.8889354467391968
3491B_240506-155911,band_131_1799nm.png,0.9301891922950745
3491B_240506-155911,band_132_1805nm.png,0.9136640429496765
3491B_240506-155911,band_133_1812nm.png,0.9315652251243591
3491B_240506-155911,band_134_1818nm.png,0.9275964498519897
3491B_240506-155911,band_135_1824nm.png,0.9305931925773621
3491B_240506-155911,band_136_1830nm.png,0.9454212188720703
3491B_240506-155911,band_137_1837nm.png,0.9261533617973328
3491B_240506-155911,band_138_1843nm.png,0.9320982098579407
3491B_240506-155911,band_139_1849nm.png,0.9066551923751831
3491B_240506-155911,band_140_1856nm.png,0.9468821287155151
3491B_240506-155911,band_141_1862nm.png,0.9382500052452087
3491B_240506-155911,band_142_1868nm.png,0.9473448395729065
3491B_240506-155911,band_143_1874nm.png,0.9467450380325317
3491B_240506-155911,band_144_1881nm.png,0.9464523792266846
3491B_240506-155911,band_145_1887nm.png,0.9450388550758362
3491B_240506-155911,band_146_1893nm.png,0.948968768119812
3491B_240506-155911,band_147_1900nm.png,0.9431687593460083
3491B_240506-155911,band_148_1906nm.png,0.9310774803161621
3491B_240506-155911,band_149_1912nm.png,0.9405734539031982
3491B_240506-155911,band_150_1918nm.png,0.9486780762672424
3491B_240506-155911,band_151_1925nm.png,0.9322764873504639
3491B_240506-155911,band_152_1931nm.png,0.9416816234588623
3491B_240506-155911,band_153_1937nm.png,0.9366483688354492
3491B_240506-155911,band_154_1943nm.png,0.9080629944801331
